"","account_num","address","bank_name","id","industry","legal_form","location","name","phone","tax_num"
"1","000530000101546566","БУЛ.МАК.ПРОСВЕТИТЕЛИ 16","ОХРИДСКА БАНКА А.Д. - ОХРИД","6823769","Дејности на туристичките агенции","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","ОХРИД","Трговско друштво за производство градеЖништво трговија услуги и угостителство  АНТОНИО&БОЈАН ДООЕЛ увоз-извоз Охрид","075/414-585","MK4020012521389"
"2","000530050101110112","шТИПСКИ ПАТ ББ/-","ОХРИДСКА БАНКА А.Д. - ОХРИД","6465757","Изградба на други објекти од нискоградба  неспомнати на друго место","ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ","КОЧАНИ","Трговско друштво за градеЖништво,трговија и услуги ИГМ ГРАДБА ДОО Кочани","297145","MK4013009503390"
"3","000240120100034862","БУЛЕВАР МАКЕДОНСКИ ПРОСВЕ 8","УНИВЕРЗАЛНА ИНВЕСТИЦИОНА БАНКА АД СКОПЈЕ","6793550","Правни работи","АДВОКАТСКО ДРУШТВО","ОХРИД","АДВОКАТСКО ДРУШТВО МУЈОСКИ ОХРИД","075/232-090","MK4020012520196"
"4","000530000101051769","ДЕЈАН ВОЈВОДА 150 а","ОХРИДСКА БАНКА А.Д. - ОХРИД","6414974","Сметководствени  книговодствени и ревизорски работи; даночно советување","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","ОХРИД","Овластено друштво за водење на  сметководствени и книговодствени работи КИМАКС КОНСАЛТИНГ ДООЕЛ Охрид","078/335-334","MK4020008505166"
"5","000210066110790163","ГОРЧЕ ПЕТРОВ 6","НЛБ ТУТУНСКА БАНКА АД СКОПЈЕ","6611079","Такси служба","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","ОХРИД","Друштво за  трговија и услуги МЕРЦЕДЕС 13-666 ДООЕЛ Охрид","046/269-192","MK4020010511645"
"6","000380176952303169","ЛЕНИНОВА(ГЛОБАЛ) ББ/л.18У","ПРОКРЕДИТ БАНКА АД СКОПЈЕ","6675905","Трговија на мало со облека во специјализирани продавници","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","СТРУМИЦА","Друштво за производство,трговија и услуги ЈУЛИЈА ИНТИМА ДООЕЛ Струмица","078-450-467","MK4027011513794"
"7","000530010101514119","СКУПИ ББ","ОХРИДСКА БАНКА А.Д. - ОХРИД","6449123","Друго образование  неспомнато на друго место","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","СКОПЈЕ-К. ВОДА","Друштво за едукација ПСС ЕДУКАЦИЈА ДООЕЛ Скопје","078/274-535","MK4058009500114"
"8","000200002285325036","КОСТУРСКИ ХЕРОИ 4/8","СТОПАНСКА БАНКА АД СКОПЈЕ","6677410","Неспецијализирана трговија на големо","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","СКОПЈЕ-ЦЕНТАР","Друштво за трговија, услуги и градеЖништво ЕРГО КОМ ДООЕЛ увоз-извоз Скопје","02/3290-919","MK4080011519430"
"9","000200002389192830","ЦВЕТАН ДИМОВ 1/-","СТОПАНСКА БАНКА  АКЦИОНЕРСКО ДРУШТВО СКОПЈЕ ФИЛИЈАЛА БЕРОВО","6745199","Трговија на мало во неспецијализирани продавници  претежно со храна  пијалаци и тутун","ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ","БЕРОВО","Друштво за производство,трговија и услуги МАРКЕТИ БКБ ДОО Берово","","MK4001011502963"
"10","000320100025122225","БУЛЕВАР МАРКС И ЕНГЕЛС 1/6-14","ЦЕНТРАЛНА КООПЕРАТИВНА БАНКА АД СКОПЈЕ","6789447","Производство на електрична енергија","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","СКОПЈЕ-ЦЕНТАР","Друштво за трговија, производство и услуги ДН СОЛАР ДООЕЛ Скопје","","MK4080012529285"
